URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/2020/10/16/world/a-chinese-city-says-it-has-given-some-residents-a-vaccine.html,258047,45,text/html
https://www.nytimes.com/live/2021/05/25/world/covid-vaccine-coronavirus-mask/moderna-vaccine-teens-efficacy,1048576,147,text/html
https://www.nytimes.com/live/2021/05/10/world/covid-19-coronavirus/pfizer-covid-vaccine-teens,1048576,132,text/html
https://www.nytimes.com/live/2021/02/24/world/covid-19-coronavirus/pfizer-vaccine-effective-israel,1048576,182,text/html
https://www.nytimes.com/2021/08/06/us/politics/novavax-coronavirus-vaccine.html,312856,50,text/html
https://www.nytimes.com/live/2020/12/11/world/covid-19-coronavirus/sanofi-and-glaxosmithkline-delay-plans-for-a-trial-after-experimental-vaccine-fails-in-some-older-patients,1048576,172,text/html
https://www.nytimes.com/live/2021/06/29/world/tigray-ethiopia/how-the-rebels-turned-the-tide-of-the-war,743271,72,text/html
https://www.nytimes.com/2021/08/26/world/asia/kabul-airport-bombing.html,513699,68,text/html
https://www.nytimes.com/2021/08/19/world/asia/afghanistan-protests.html,598479,78,text/html
https://www.nytimes.com/2021/08/17/world/asia/taliban-leaders-kabul.html,581577,75,text/html
https://www.nytimes.com/2021/08/18/world/asia/afghanistan-taliban-takeover-violence.html,504454,72,text/html
https://www.nytimes.com/live/2021/07/28/world/covid-delta-variant-vaccine/pandemic-patterns-global-roundup,1048576,183,text/html
https://www.nytimes.com/2021/08/24/world/asia/cia-taliban-william-burns-afghanistan.html,385763,76,text/html
https://www.nytimes.com/2021/07/21/world/asia/living-with-covid-coronavirus.html,498562,83,text/html
https://www.nytimes.com/es/2021/07/22/espanol/restricciones-covid-mundo.html,504930,82,text/html
https://www.nytimes.com/live/2021/09/15/us/political-news/the-pope-addresses-the-debate-on-denying-communion-to-biden-and-other-supporters-of-abortion-rights,1048576,106,text/html
https://www.nytimes.com/2021/09/13/us/updates-california-recall-election.html,594861,80,text/html
https://www.nytimes.com/2021/09/02/us/where-californians-are-moving.html,592974,77,text/html
https://www.nytimes.com/2021/09/14/us/california-election-voter-results-today.html,545864,78,text/html
